,Actual,Predicted
Email 0,0.0,0.0
Email 1,0.0,0.0
Email 2,0.0,0.0
Email 3,0.0,0.0
Email 4,0.0,0.0
Email 5,0.0,0.0
Email 6,0.0,0.0
Email 7,0.0,0.0
Email 8,0.0,0.0
Email 9,0.0,0.0
Email 10,0.0,1.0
Email 11,0.0,0.0
Email 12,0.0,0.0
Email 13,0.0,0.0
Email 14,0.0,0.0
Email 15,0.0,0.0
Email 16,0.0,0.0
Email 17,0.0,0.0
Email 18,0.0,0.0
Email 19,0.0,0.0
Email 20,0.0,0.0
Email 21,0.0,0.0
Email 22,0.0,0.0
Email 23,0.0,0.0
Email 24,0.0,0.0
Email 25,0.0,0.0
Email 26,0.0,0.0
Email 27,0.0,0.0
Email 28,0.0,0.0
Email 29,0.0,0.0
Email 30,0.0,0.0
Email 31,0.0,0.0
Email 32,0.0,0.0
Email 33,0.0,0.0
Email 34,0.0,0.0
Email 35,0.0,0.0
Email 36,0.0,0.0
Email 37,0.0,0.0
Email 38,0.0,0.0
Email 39,0.0,0.0
Email 40,0.0,0.0
Email 41,0.0,0.0
Email 42,0.0,0.0
Email 43,0.0,0.0
Email 44,0.0,0.0
Email 45,0.0,0.0
Email 46,0.0,0.0
Email 47,0.0,0.0
Email 48,0.0,0.0
Email 49,0.0,0.0
Email 50,0.0,0.0
Email 51,0.0,0.0
Email 52,0.0,0.0
Email 53,0.0,0.0
Email 54,0.0,0.0
Email 55,0.0,0.0
Email 56,0.0,0.0
Email 57,0.0,0.0
Email 58,0.0,0.0
Email 59,0.0,0.0
Email 60,0.0,0.0
Email 61,0.0,0.0
Email 62,0.0,0.0
Email 63,0.0,0.0
Email 64,0.0,0.0
Email 65,0.0,0.0
Email 66,0.0,0.0
Email 67,0.0,0.0
Email 68,0.0,0.0
Email 69,0.0,0.0
Email 70,0.0,0.0
Email 71,0.0,0.0
Email 72,0.0,0.0
Email 73,0.0,0.0
Email 74,0.0,0.0
Email 75,0.0,0.0
Email 76,0.0,0.0
Email 77,0.0,0.0
Email 78,0.0,0.0
Email 79,0.0,0.0
Email 80,0.0,0.0
Email 81,0.0,0.0
Email 82,0.0,0.0
Email 83,0.0,0.0
Email 84,0.0,0.0
Email 85,0.0,0.0
Email 86,0.0,0.0
Email 87,0.0,0.0
Email 88,0.0,0.0
Email 89,0.0,0.0
Email 90,0.0,0.0
Email 91,0.0,0.0
Email 92,0.0,0.0
Email 93,0.0,0.0
Email 94,0.0,0.0
Email 95,0.0,0.0
Email 96,0.0,0.0
Email 97,0.0,0.0
Email 98,0.0,0.0
Email 99,0.0,0.0
Email 100,0.0,0.0
Email 101,0.0,0.0
Email 102,0.0,0.0
Email 103,0.0,0.0
Email 104,0.0,0.0
Email 105,0.0,0.0
Email 106,0.0,0.0
Email 107,0.0,0.0
Email 108,0.0,0.0
Email 109,0.0,0.0
Email 110,0.0,0.0
Email 111,0.0,0.0
Email 112,0.0,0.0
Email 113,0.0,0.0
Email 114,0.0,0.0
Email 115,0.0,0.0
Email 116,0.0,0.0
Email 117,0.0,0.0
Email 118,0.0,0.0
Email 119,0.0,0.0
Email 120,0.0,0.0
Email 121,0.0,0.0
Email 122,0.0,0.0
Email 123,0.0,0.0
Email 124,0.0,0.0
Email 125,0.0,0.0
Email 126,0.0,0.0
Email 127,0.0,0.0
Email 128,0.0,0.0
Email 129,0.0,0.0
Email 130,1.0,1.0
Email 131,1.0,1.0
Email 132,1.0,1.0
Email 133,1.0,1.0
Email 134,1.0,1.0
Email 135,1.0,1.0
Email 136,1.0,1.0
Email 137,1.0,1.0
Email 138,1.0,1.0
Email 139,1.0,1.0
Email 140,1.0,1.0
Email 141,1.0,1.0
Email 142,1.0,1.0
Email 143,1.0,1.0
Email 144,1.0,1.0
Email 145,1.0,1.0
Email 146,1.0,1.0
Email 147,1.0,1.0
Email 148,1.0,1.0
Email 149,1.0,1.0
Email 150,1.0,1.0
Email 151,1.0,1.0
Email 152,1.0,1.0
Email 153,1.0,1.0
Email 154,1.0,1.0
Email 155,1.0,1.0
Email 156,1.0,1.0
Email 157,1.0,1.0
Email 158,1.0,1.0
Email 159,1.0,1.0
Email 160,1.0,1.0
Email 161,1.0,1.0
Email 162,1.0,1.0
Email 163,1.0,1.0
Email 164,1.0,1.0
